fold,acc,tn, fp, fn, tp,sensitivity,specificity,mcc,auc
1,0.6602638727202174,1688,927,824,1715,0.6754627806222923,0.6455066921606119,0.3210367141887606,0.7209554656724129
2,0.6546371750097012,1848,738,1042,1526,0.5942367601246106,0.7146171693735499,0.31115570526775693,0.7253401975169436
3,0.6383391540551029,1350,1247,617,1940,0.758701603441533,0.5198305737389295,0.28667082813367667,0.7139925147529662
4,0.6512711042111391,1621,930,867,1735,0.6667947732513452,0.6354370834966679,0.3023954971353111,0.7143565649678157
5,0.6339996118765767,1996,539,1347,1271,0.485485103132162,0.7873767258382643,0.2857650506510284,0.7168417555295383
