fold,acc,tn, fp, fn, tp,sensitivity,specificity,mcc,auc
1,0.63290648040357,1275,1342,550,1987,0.783208513992905,0.4871990829193733,0.2826784176494727,0.7124693624913
2,0.6486224291812185,1512,1092,719,1831,0.7180392156862745,0.5806451612903226,0.30139697855177666,0.7067787114845938
3,0.6639503298409003,1740,828,904,1682,0.6504253673627224,0.677570093457944,0.32810437192293457,0.7262979065324188
4,0.6475839316902775,1396,1187,629,1941,0.7552529182879377,0.54045683313976,0.30272516528773136,0.7149904870366103
5,0.6316708713370852,974,1538,360,2281,0.8636879969708444,0.3877388535031847,0.2869147855867525,0.7232764743619118
